epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,767.877,1.59389,1.23032,1.08184,0.76984,0.7081,0.80415,0.5658,1.29349,0.91919,0.98675,0.00333234,0.00333234,0.00333234
2,1519.79,1.25999,0.90877,0.94412,0.76977,0.72341,0.81956,0.60156,1.23221,0.9032,0.9613,0.0065007,0.0065007,0.0065007
3,2257.09,1.2372,0.88612,0.93368,0.78132,0.73018,0.82913,0.6138,1.19671,0.86347,0.94962,0.00950405,0.00950405,0.00950405
4,2999.53,1.18872,0.85631,0.92461,0.78408,0.73984,0.83678,0.63361,1.16008,0.84404,0.94094,0.0092575,0.0092575,0.0092575
5,3738.11,1.12674,0.81473,0.91294,0.79048,0.7584,0.8495,0.64943,1.13201,0.81824,0.93054,0.00901,0.00901,0.00901
6,4481.08,1.0912,0.78756,0.90625,0.80967,0.75813,0.85862,0.65948,1.12154,0.79032,0.93078,0.0087625,0.0087625,0.0087625
